,User,Date Created,Number of Likes,Source of Tweet,Tweet
56,barralpha1,2022-12-20 09:00:19+00:00,0,Twitter for iPhone,"#Messi𓃵 vs #Maradona Stats. Who is the greatest Argentine player???
#GreatestOfAllTime #goatdebate #FootballUnitesTheWorld https://t.co/eP2yCWNKtf"
57,iamnidalcheema,2022-12-20 08:54:52+00:00,1,Twitter for Android,"@HussainWasiq09 I’ve been refreshing all day 🤣
#goatdebate"
58,soccer_zeal,2022-12-20 08:35:08+00:00,2,Twitter for Android,"The poet of Football now in his hometown ❤️🇦🇷

Amo Argentina, amo a Leo.

#WorldCupFinal2022 #Champions #Messi #MessivsEgg #MESSIDAY #Messi𓃵day #messigoat #messivsmbappe #GOAT𓃵 #goatdebate #Bangladesh #FIFAWorldCup #VamosArgentinaLPM #VamosArgentina #Buenos_Aires https://t.co/Y0G02vgqCp"
59,soccer_zeal,2022-12-20 08:21:17+00:00,1,Twitter for Android,"When FIFA says that the #goatdebate is settled, the cynics should accept everything.
 #Messi𓃵 FROM NOW THE ULTIMATE #GOAT𓃵 OF FOOTBALL HISTORY.

#FIFAWorldCup #MESSIDAY #Argentina #FIFAWorldCup2022 #FIFAWorldCup2022Final #FIFAWorldCup2022 #Champion https://t.co/PhQcRZP5b6"
60,leo_alibadshah,2022-12-20 06:48:45+00:00,1,Twitter for Android,"Trophies are won by teams , a combination of players rather than individuals. Portugal has never been a world class team.Only hopes were created by legend #Ronaldo.
For me Ronaldo has been a great player .The #goatdebate doesn't end with the #WorldCup."
61,HTSportsNews,2022-12-20 06:30:15+00:00,5,Twitter Web App,"When FIFA gives verdict on the GOAT debate...

#FIFAWorldCup #CristianoRonaldo #Ronaldo #LionelMessi #Messi #GOAT #goatdebate 

https://t.co/cBzjqQ7524"
62,aditkathuria,2022-12-20 06:24:48+00:00,0,Twitter for iPhone,"I’ve seen so many goat debate reels in the past few days. Do people not realise that even if the debate is not, their football journeys are about to get over. Enjoy while u can because football won’t be the same without them. #Messi #Cristiano #goatdebate"
63,ArijitMusic,2022-12-20 06:07:29+00:00,4,Twitter for iPhone,"@devdanmitra writes why this #GOAT𓃵 debate is not relevant, unless it’s for a bigger cause. And very rightly so. @ttindia #goatdebate @ShantanuEditor @SankarshanT 

https://t.co/TFUDLQQAEU"
64,SamiUll47044541,2022-12-20 05:29:16+00:00,1,Twitter for Android,"https://t.co/i8yyDYeKPe

#Messi𓃵
#GOAT𓃵
#goatdebate  #Ronaldo𓃵 #Ronaldo 
#Mbappe #FIFAWorldCup"
65,Eloisee_35,2022-12-20 03:02:48+00:00,0,Twitter for Android,"Messi is like porn. Everyone loves him but not everyone will admit it . 
#GOAT𓃵  #Messi𓃵 #FIFAWorldCup #goatdebate 
#WorldCup"
66,HTSportsNews,2022-12-20 02:46:13+00:00,10,TweetDeck,"Here's Cristiano Ronaldo’s honest admission on Messi's FIFA World Cup win settling GOAT debate

#GOAT #GOATdebate #CristianoRonaldo #Ronaldo #LionelMessi #FIFAWorldCup #Messi

https://t.co/Y6tFaJ6eE6"
67,rahulpuri,2022-12-20 02:35:05+00:00,1,Twitter for Android,"Children argue about 'who's the greatest'. When you grow up, you are supposed to know better. #GoatDebate"
68,jorlegonc,2022-12-20 00:12:36+00:00,0,Twitter for Android,"El mejor ejemplo de una discusión bizantina: ¿Fue más grande @Pele o @messiIioneI?. No importa cuánto se esmere en defender su elegido nunca tendrá la evidencia que permita una respuesta definitiva, porque el contexto histórico no permite comparaciones correctas. #goatdebate"
